unit,geo,time,value,flag,crux_ingestion_dt,crux_supplier_implied_dt,crux_delivery_id,crux_resource_id
I00,CY,2002,99.1,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,CY,2003,96.7,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,CY,2004,105.3,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,CY,2005,106.4,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,CY,2006,105.1,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,CY,2007,105.0,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,CY,2008,101.7,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,CY,2009,103.2,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,CY,2010,103.3,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,CY,2011,101.0,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,CY,2012,100.5,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,CY,2013,100.0,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,CY,2014,100.8,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,CY,2015,100.5,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,CY,2016,99.9,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,CY,2017,97.4,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,CY,2018,93.5,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,CZ,2000,100.0,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
